"id","murmur32","md5","sha512","sha1","sha256","crc32","xxhash32","spookyhash"
288,2,4,8,4,6,6,6,4
289,4,9,8,9,8,2,10,4
290,4,5,3,4,11,13,2,10
291,9,1,7,11,6,7,5,6
292,10,7,10,1,5,11,5,6
293,9,11,8,6,9,3,4,7
294,14,2,9,6,5,6,3,5
295,8,5,6,10,3,8,11,4
296,1,6,4,7,4,12,12,10
297,10,9,17,8,6,13,3,7
298,12,5,12,7,8,6,8,11
299,8,5,8,4,3,6,6,12
300,6,0,9,3,3,8,9,7
301,10,5,8,8,6,14,10,5
302,6,4,5,11,3,11,5,4
303,8,6,11,5,14,8,2,9
304,10,5,4,9,3,7,14,8
305,8,7,5,14,16,5,14,9
306,2,8,10,15,2,14,9,7
307,5,5,4,7,6,6,5,13
308,8,3,7,6,4,11,4,5
309,8,6,3,4,9,8,9,8
310,3,10,9,4,3,10,3,5
311,5,3,13,7,8,14,14,10
312,4,9,5,10,10,9,17,9
313,9,6,7,5,7,20,5,4
314,8,9,4,3,6,9,11,3
315,3,8,9,3,10,11,7,4
316,8,10,5,6,16,17,3,6
317,4,5,7,9,8,18,7,6
318,7,3,4,9,9,9,5,2
319,7,7,2,3,13,14,6,5
320,5,10,8,5,5,11,2,8
321,4,11,4,3,8,8,3,2
322,10,5,5,11,8,6,7,6
323,8,8,5,3,7,10,2,10
324,5,5,4,5,6,5,5,9
325,3,11,6,1,6,1,4,7
326,8,10,7,8,5,13,5,5
327,8,7,5,12,6,8,5,5
328,7,7,9,14,1,7,5,8
329,5,6,4,9,6,12,3,3
330,2,7,3,3,9,10,8,8
331,15,11,7,3,4,19,7,5
332,5,5,7,5,3,9,3,4
333,7,5,8,9,8,10,6,4
334,2,10,3,7,5,12,5,6
335,5,9,9,10,6,11,5,9
336,6,8,5,5,5,2,5,12
337,1,7,7,5,8,9,11,9
338,5,1,9,7,5,8,6,3
339,8,6,3,7,5,8,7,8
340,3,4,7,4,5,11,5,5
341,8,5,4,6,4,9,4,6
342,2,7,8,5,5,8,16,3
343,1,13,8,14,9,11,10,5
344,6,8,7,6,9,18,11,4
345,4,6,5,8,6,9,2,13
346,12,5,10,4,7,9,10,4
347,7,5,8,3,8,9,8,9
348,4,7,6,6,15,19,5,4
349,5,8,8,9,3,9,3,2
350,3,9,4,10,12,9,4,10
351,5,5,8,1,5,15,9,5
352,10,3,5,3,6,13,16,5
353,5,8,6,5,7,13,6,13
354,4,3,3,9,6,16,11,7
355,6,4,9,9,6,9,8,3
356,8,8,12,7,6,13,10,4
357,8,9,8,6,7,18,6,4
358,5,12,4,5,9,15,12,5
359,11,10,8,11,8,10,6,6
360,10,7,8,9,4,9,7,7
361,8,6,2,7,6,6,8,13
362,1,4,2,6,6,8,6,5
363,5,16,3,7,11,6,5,5
364,3,6,4,4,3,17,7,10
365,5,8,8,4,4,12,5,8
366,5,2,9,4,10,10,7,3
367,5,6,11,6,7,10,8,10
368,5,2,3,7,6,8,3,11
369,3,3,5,7,4,9,12,2
370,11,2,6,3,8,11,4,6
371,4,10,9,5,13,9,9,8
372,7,4,8,10,6,6,6,2
373,6,5,7,7,7,6,6,5
374,4,3,5,4,3,13,3,5
375,5,6,2,21,2,10,5,3
376,6,7,9,7,4,15,12,11
377,5,3,6,12,3,5,8,7
378,6,9,7,8,4,9,8,4
379,2,5,7,7,6,11,10,7
380,2,5,12,7,8,5,6,11
381,12,10,5,6,3,6,10,15
382,3,6,4,7,8,11,8,19
383,4,5,2,5,7,15,4,6
384,4,4,5,3,7,14,3,8
385,11,6,3,2,8,18,7,8
386,4,6,5,8,3,14,7,11
387,7,2,6,6,4,11,8,6
388,8,10,4,16,9,10,7,3
389,16,7,2,6,11,11,2,3
390,10,8,13,9,8,8,6,9
391,6,5,7,3,1,6,4,10
392,1,7,8,10,6,8,6,5
393,2,4,7,6,4,13,5,6
394,7,11,4,8,7,10,8,11
395,5,6,8,11,4,11,11,8
396,8,3,11,6,4,5,8,7
397,3,6,10,9,4,11,5,3
398,7,4,4,4,7,3,14,7
399,13,9,12,5,11,5,7,3
400,5,3,3,4,5,8,4,4
401,1,6,4,10,5,7,4,2
402,5,6,5,11,7,4,12,7
403,5,4,10,7,13,17,5,3
404,11,10,9,4,5,14,3,10
405,4,11,4,6,5,14,6,3
406,8,8,14,3,13,5,5,8
407,9,10,5,7,8,4,4,5
408,1,7,10,13,4,12,4,8
409,9,9,2,9,5,21,10,8
410,8,4,5,3,3,4,11,10
411,7,2,5,7,3,16,7,2
412,9,2,12,9,5,18,8,7
413,7,6,8,14,15,7,12,7
414,1,8,11,10,5,21,9,5
415,8,9,1,7,6,5,8,2
416,4,7,8,8,2,8,10,5
417,8,6,5,4,11,16,7,9
418,8,7,7,4,5,8,10,5
419,7,4,5,3,11,6,1,13
420,6,7,4,9,9,9,3,8
421,7,6,9,5,6,10,5,3
422,13,7,6,5,6,14,4,18
423,4,8,4,8,10,9,7,14
424,7,5,6,8,6,6,5,5
425,2,8,5,6,6,6,4,3
426,6,6,4,8,6,9,7,8
427,10,6,7,4,8,16,7,6
428,4,7,7,10,5,12,2,1
429,4,9,6,5,9,13,2,16
430,6,6,5,6,10,17,11,4
431,8,2,5,7,4,12,1,8
432,15,14,6,4,4,6,1,6
433,8,3,13,5,2,4,8,9
434,5,7,3,1,5,8,8,4
435,9,0,12,7,4,9,4,13
436,4,4,5,10,6,11,7,7
437,13,10,6,6,8,7,6,8
438,5,4,8,5,8,15,11,1
439,6,12,5,10,9,16,6,7
440,3,11,6,16,13,6,5,6
441,12,7,19,6,5,17,4,8
442,7,8,8,7,6,14,9,8
443,5,5,6,9,4,6,7,3
444,15,10,5,4,8,5,5,2
445,7,4,10,3,7,6,1,9
446,7,6,7,8,6,11,5,9
447,5,4,5,1,8,13,4,7
448,4,7,6,6,4,8,10,5
449,9,7,10,6,3,7,6,7
450,9,5,7,6,8,16,11,7
451,2,11,5,5,10,11,6,12
452,10,5,10,2,10,8,7,3
453,5,7,10,12,5,11,2,7
454,7,10,5,4,5,11,9,9
455,8,7,10,5,6,9,5,4
456,7,5,5,3,6,18,5,6
457,20,7,6,5,6,11,4,7
458,7,5,3,5,3,2,5,0
459,4,1,10,10,11,4,4,8
460,4,10,5,4,5,9,3,7
461,11,6,3,5,4,7,6,6
462,9,4,8,8,2,18,7,3
463,6,11,11,2,5,5,13,8
464,2,4,5,8,10,6,3,7
465,2,1,3,6,11,10,4,8
466,6,10,8,10,12,16,2,4
467,6,9,6,4,5,18,4,7
468,9,5,4,8,7,11,4,4
469,6,12,4,4,12,6,5,12
470,6,7,6,6,5,11,6,10
471,5,9,4,1,4,9,9,7
472,1,5,10,2,2,13,7,6
473,8,8,8,4,8,9,5,2
474,7,6,12,5,12,6,6,12
475,3,2,4,5,4,15,6,5
476,4,8,2,2,7,17,9,3
477,11,3,3,7,9,9,3,9
478,7,4,5,8,1,4,8,5
479,12,6,9,7,8,17,5,8
480,7,6,10,9,8,8,8,6
481,8,8,6,4,2,7,8,7
482,10,6,4,4,3,3,4,9
483,12,4,7,2,4,17,1,2
484,15,6,6,3,3,5,8,10
485,2,6,4,10,9,7,8,2
486,7,6,3,5,11,4,7,3
487,7,5,6,10,7,6,5,9
488,7,4,3,4,4,9,2,7
489,4,12,2,4,3,9,6,7
